zipcode,room_type,accommodates,bedrooms,bathrooms,beds,minimum_nights,number_of_reviews,price,price_bin
94107,Entire home/apt,5,3.0,2.0,3.0,4,23,205.0,bin 200-250
94110,Entire home/apt,2,1.0,1.0,1.0,30,184,125.0,bin 100-150
94117,Entire home/apt,5,3.0,2.0,3.0,3,37,375.0,bin 350-400
94117,Private room,2,1.0,1.0,1.0,3,102,130.0,bin 100-150
94131,Entire home/apt,2,1.0,1.0,1.0,4,64,225.0,bin 200-250
94121,Entire home/apt,4,1.0,1.0,2.0,3,162,130.0,bin 100-150
94107,Entire home/apt,3,1.0,1.0,1.0,30,128,170.0,bin 150-200
94107,Entire home/apt,7,2.0,1.0,2.0,30,17,270.0,bin 250-300
94110,Entire home/apt,2,1.0,1.0,1.0,3,221,100.0,bin 50-100
94117,Entire home/apt,2,1.0,1.0,1.0,30,103,220.0,bin 200-250
94117,Entire home/apt,6,2.0,2.0,3.0,30,115,350.0,bin 300-350
94123,Entire home/apt,3,0.0,1.0,2.0,2,84,289.0,bin 250-300
94131,Entire home/apt,4,1.0,1.0,1.0,365,8,200.0,bin 150-200
94131,Entire home/apt,4,2.0,1.0,2.0,3,18,260.0,bin 250-300
94131,Entire home/apt,2,1.0,1.0,1.0,30,254,75.0,bin 50-100
94107,Private room,2,1.0,2.0,1.0,4,323,135.0,bin 100-150
94109,Entire home/apt,2,1.0,1.0,1.0,31,79,126.0,bin 100-150
94110,Entire home/apt,6,3.0,1.0,4.0,3,48,495.0,bin 450-500
94124,Private room,2,1.0,1.5,1.0,30,11,70.0,bin 50-100
94112,Private room,1,1.0,1.0,0.0,1,33,95.0,bin 50-100
94112,Private room,1,1.0,1.5,1.0,2,19,112.0,bin 100-150
94110,Entire home/apt,8,4.0,2.5,6.0,4,19,449.0,bin 400-450
94112,Private room,2,1.0,1.0,1.0,30,15,43.0,bin 0-50
94133,Private room,2,1.0,1.0,1.0,30,90,140.0,bin 100-150
94121,Entire home/apt,2,1.0,1.0,1.0,1,821,79.0,bin 50-100
94131,Entire home/apt,2,1.0,1.0,1.0,4,122,129.0,bin 100-150
94110,Entire home/apt,3,2.0,1.0,2.0,5,11,220.0,bin 200-250
94118,Entire home/apt,5,3.0,2.0,3.0,3,24,450.0,bin 400-450
94110,Private room,3,2.0,1.0,2.0,4,258,95.0,bin 50-100
94133,Entire home/apt,2,1.0,1.0,0.0,2,21,200.0,bin 150-200
94131,Private room,2,1.0,1.0,1.0,1,643,95.0,bin 50-100
94131,Private room,1,1.0,1.0,1.0,2,373,68.0,bin 50-100
94117,Entire home/apt,6,3.0,2.5,3.0,4,13,460.0,bin 450-500
94117,Entire home/apt,4,2.0,1.0,2.0,3,18,280.0,bin 250-300
94117,Private room,1,1.0,1.0,1.0,1,69,93.0,bin 50-100
94131,Entire home/apt,2,1.0,1.0,0.0,2,556,99.0,bin 50-100
94121,Entire home/apt,2,1.0,1.0,2.0,1,745,69.0,bin 50-100
94110,Entire home/apt,6,2.0,1.0,4.0,3,79,400.0,bin 350-400
94114,Private room,2,1.0,1.0,1.0,2,239,110.0,bin 100-150
94110,Entire home/apt,2,1.0,1.0,2.0,2,16,350.0,bin 300-350
94110,Private room,2,1.0,1.0,1.0,1,47,98.0,bin 50-100
94117,Private room,1,1.0,1.5,1.0,2,369,95.0,bin 50-100
94107,Private room,2,1.0,2.0,1.0,2,284,125.0,bin 100-150
94117,Entire home/apt,2,1.0,1.0,0.0,30,61,105.0,bin 100-150
94117,Entire home/apt,5,3.0,1.0,3.0,30,1,350.0,bin 300-350
94110,Private room,1,1.0,1.5,1.0,31,13,72.0,bin 50-100
94110,Shared room,2,1.0,1.0,1.0,30,54,79.0,bin 50-100
94117,Entire home/apt,6,3.0,2.5,3.0,3,55,375.0,bin 350-400
94108,Entire home/apt,6,3.0,1.0,4.0,7,73,450.0,bin 400-450
94103,Entire home/apt,2,1.0,1.0,2.0,30,106,279.0,bin 250-300
94103,Entire home/apt,4,1.0,1.0,1.0,30,39,123.0,bin 100-150
94110,Private room,2,1.0,1.0,1.0,30,1,125.0,bin 100-150
94114,Entire home/apt,4,1.0,1.0,2.0,30,261,201.0,bin 200-250
94107,Private room,4,2.0,2.0,2.0,4,41,280.0,bin 250-300
94124,Private room,1,1.0,1.0,1.0,31,28,50.0,bin 0-50
94131,Entire home/apt,2,1.0,1.0,1.0,30,10,95.0,bin 50-100
94131,Private room,3,1.0,1.0,1.0,1,80,79.0,bin 50-100
94103,Private room,2,1.0,1.0,1.0,2,21,280.0,bin 250-300
94123,Entire home/apt,1,1.0,1.0,0.0,30,53,110.0,bin 100-150
94110,Entire home/apt,4,1.0,1.0,1.0,60,6,178.0,bin 150-200
94133,Private room,2,1.0,1.0,1.0,30,41,130.0,bin 100-150
94133,Entire home/apt,2,1.0,1.0,1.0,3,32,350.0,bin 300-350
94110,Entire home/apt,2,1.0,1.0,1.0,4,116,149.0,bin 100-150
94132,Entire home/apt,4,1.0,1.0,1.0,1,299,250.0,bin 200-250
94110,Private room,2,1.0,1.0,1.0,3,269,79.0,bin 50-100
94131,Private room,2,1.0,1.0,1.0,4,167,85.0,bin 50-100
94124,Private room,2,1.0,1.0,1.0,3,317,90.0,bin 50-100
94111,Entire home/apt,4,2.0,2.0,2.0,30,4,199.0,bin 150-200
